_id,Fecha,Hora,Latitud,Longitud,Profundidad,Intensidad
ObjectId("5db7805d3771a8f231530f47"),2019-10-28,09:08:45,26.04,-107.89,10.0 km,4
ObjectId("5db7805d3771a8f231530f49"),2019-10-28,08:15:02,14.13,-93.34,19.0 km,4.1
ObjectId("5db7805d3771a8f231530f4b"),2019-10-28,04:59:59,17.9,-95.08,120.0 km,3.8
ObjectId("5db7805d3771a8f231530f4d"),2019-10-28,04:55:15,16.69,-99.42,7.0 km,3.4
ObjectId("5db7805d3771a8f231530f4f"),2019-10-28,04:34:54,16.3,-98.25,13.0 km,3.3
ObjectId("5db7805d3771a8f231530f51"),2019-10-28,03:56:44,15.82,-93.03,137.0 km,3.6
ObjectId("5db7805d3771a8f231530f53"),2019-10-28,03:30:55,15.55,-98.64,12.0 km,3.6
ObjectId("5db7805d3771a8f231530f55"),2019-10-28,03:28:58,15.63,-92.8,144.0 km,3.7
ObjectId("5db7805d3771a8f231530f57"),2019-10-28,03:21:22,25.61,-104.84,17.0 km,3.7
ObjectId("5db7805d3771a8f231530f59"),2019-10-28,03:11:36,25.84,-108.27,19.0 km,3.6
ObjectId("5db7805d3771a8f231530f5b"),2019-10-28,02:17:08,16.68,-99.25,19.0 km,3.4
ObjectId("5db7805d3771a8f231530f5d"),2019-10-28,02:06:36,16.72,-95.66,12.0 km,3.5
ObjectId("5db7805d3771a8f231530f5f"),2019-10-28,02:06:15,16.29,-98.13,13.0 km,3.5
ObjectId("5db7805d3771a8f231530f61"),2019-10-28,02:05:38,16,-98.18,5.0 km,3.2
ObjectId("5db7805d3771a8f231530f63"),2019-10-28,01:52:54,16.12,-97.21,18.0 km,3.8
ObjectId("5db85b5245a16025537fca8b"),2019-10-29,07:23:57,17.65,-101.86,15.0 km,4
ObjectId("5db85b5245a16025537fca8d"),2019-10-29,04:42:46,14.99,-94.3,12.0 km,3.8
ObjectId("5db85b5245a16025537fca8f"),2019-10-29,04:40:00,16.68,-94.11,131.0 km,3.9
ObjectId("5db85b5245a16025537fca91"),2019-10-29,04:23:14,15.52,-93.63,71.0 km,4.1
ObjectId("5db85b5245a16025537fca93"),2019-10-29,03:33:09,19.43,-104.84,15.0 km,3.2
ObjectId("5db85b5245a16025537fca95"),2019-10-29,03:05:14,18.36,-101.41,67.0 km,3.7
ObjectId("5db85b5245a16025537fca97"),2019-10-29,02:58:02,16.97,-94.09,154.0 km,3.5
ObjectId("5db85b5245a16025537fca99"),2019-10-29,01:44:40,16.23,-97.85,6.0 km,3.4
ObjectId("5db85b5245a16025537fca9b"),2019-10-29,01:13:00,15.64,-95.09,29.0 km,4.3
ObjectId("5db85b5245a16025537fca9d"),2019-10-29,00:26:01,18.22,-94.73,8.0 km,3.5
ObjectId("5db85b5245a16025537fca9f"),2019-10-29,00:16:57,14.22,-92.59,16.0 km,3.8
ObjectId("5db85b5245a16025537fcaa1"),2019-10-29,00:11:06,17.1,-93.83,178.0 km,4
ObjectId("5db85b5245a16025537fcaa3"),2019-10-28,23:56:00,16.74,-99.73,15.0 km,3.3
ObjectId("5db85b5245a16025537fcaa5"),2019-10-28,23:37:23,15.81,-93.59,88.0 km,3.8
ObjectId("5db85b5245a16025537fcaa7"),2019-10-28,23:02:25,16.48,-98.45,26.0 km,3.4
ObjectId("5db8b3d545a1602553867eef"),2019-10-29,12:56:45,17.25,-94.36,159.0 km,4.1
ObjectId("5db9da9a9bc966cd0d824d98"),2019-10-30,12:23:42,13.6,-92.38,15.0 km,4
ObjectId("5db9da9a9bc966cd0d824d9a"),2019-10-30,04:48:43,26.01,-107.94,10.0 km,3.6
ObjectId("5db9da9a9bc966cd0d824d9c"),2019-10-30,04:26:24,14.51,-92.18,77.0 km,4.1
ObjectId("5db9da9a9bc966cd0d824d9e"),2019-10-30,04:24:25,20.14,-106.77,5.0 km,3.9
ObjectId("5db9da9a9bc966cd0d824da0"),2019-10-30,04:16:35,16.42,-95.24,13.0 km,3.4
ObjectId("5db9da9a9bc966cd0d824da2"),2019-10-30,03:56:56,15.19,-94.6,13.0 km,3.5
ObjectId("5db9da9a9bc966cd0d824da4"),2019-10-30,03:50:40,16.91,-94.87,80.0 km,3.5
ObjectId("5db9da9a9bc966cd0d824da6"),2019-10-30,03:37:07,17.49,-93.96,176.0 km,3.6
ObjectId("5db9da9a9bc966cd0d824da8"),2019-10-30,03:11:59,16.12,-96.96,30.0 km,3.3
ObjectId("5db9da9a9bc966cd0d824daa"),2019-10-30,02:49:06,18.89,-104.62,13.0 km,3.8
ObjectId("5db9da9a9bc966cd0d824dac"),2019-10-30,01:35:03,15.7,-95.18,46.0 km,4
ObjectId("5db9da9a9bc966cd0d824dae"),2019-10-30,01:32:07,16.11,-97.76,10.0 km,3.5
